gmina,powiat,wojewodztwo,teryt_gmi,pop_risk_total,pop_ge65,pop_outside_ge65,outside_share,risk_class_max,priority_score_v12,rank,new_large_siren_gap_count,gap_count_not_priced_as_integration,estimated_new_siren_gap_cost_pln,new_siren_cost_per_pop_outside_ge65_pln
Radków,kłodzki,DOLNOŚLĄSKIE,0208123,1678.289010721468,893.7332640793071,784.555746642161,0.4674735648211709,wysokie ryzyko,73.13,133,2,11,80000,101.97
Gorzyce,wodzisławski,ŚLĄSKIE,2415062,1865.226301419548,1083.8219821621144,781.4043192574339,0.4189327153829745,wysokie ryzyko,71.96,155,1,12,40000,51.19
Puszczykowo,poznański,WIELKOPOLSKIE,3021021,780.8436186096133,0.0,780.8436186096133,1.0,wysokie ryzyko,83.43,9,1,2,40000,51.23
Nowogród Bobrzański,zielonogórski,LUBUSKIE,0809053,966.697302451337,187.21633554895791,779.4809669023791,0.8063340664402213,wysokie ryzyko,78.29,51,1,13,40000,51.32
Solec Kujawski,bydgoski,KUJAWSKO-POMORSKIE,0403083,2480.9565304192993,1704.4468799348967,776.5096504844028,0.3129880112624009,wysokie ryzyko,68.79,235,2,13,80000,103.03
Suchy Dąb,gdański,POMORSKIE,2204072,3451.7025918905347,2691.283792569452,760.4187993210827,0.2203025258049805,wysokie ryzyko,67.69,256,2,25,80000,105.21
Słupno,płocki,MAZOWIECKIE,1419122,1772.6964724565198,1019.2364767549584,753.4599957015614,0.4250361003186585,wysokie ryzyko,71.16,180,0,23,0,0.0
Słubice,płocki,MAZOWIECKIE,1419112,1541.8103867290515,797.1024374485285,744.707949280523,0.4830087770133783,wysokie ryzyko,71.54,168,0,52,0,0.0
Jarosław,jarosławski,PODKARPACKIE,1804011,6155.477103495819,5413.51092129444,741.9661822013808,0.1205375586207612,wysokie ryzyko,66.84,286,0,17,0,0.0
Lubicz,toruński,KUJAWSKO-POMORSKIE,0415042,2019.3543573450993,1284.905422019373,734.4489353257263,0.3637048310289267,wysokie ryzyko,69.88,209,1,10,40000,54.46
Niechlów,górowski,DOLNOŚLĄSKIE,0204032,1423.760779863554,692.2615952299761,731.4991846335779,0.5137795583213642,wysokie ryzyko,72.22,151,2,16,80000,109.36
Olesno,dąbrowski,MAŁOPOLSKIE,1204052,4732.342565723151,4001.29362751409,731.0489382090612,0.1544792939344934,wysokie ryzyko,66.12,317,0,28,0,0.0
Dąbrówka,wołomiński,MAZOWIECKIE,1434052,1470.038695639836,743.1715049038712,726.8671907359646,0.4944544608872319,wysokie ryzyko,72.08,153,0,29,0,0.0
Bestwina,bielski,ŚLĄSKIE,2402022,1468.1578608567431,748.5263133380372,719.6315475187059,0.4901595167012661,wysokie ryzyko,72.6,142,2,14,80000,111.17
Dwikozy,sandomierski,ŚWIĘTOKRZYSKIE,2609022,3879.614222241298,3167.292802999358,712.3214192419398,0.1836062501158745,wysokie ryzyko,66.58,298,1,12,40000,56.15
Grudziądz,grudziądzki,KUJAWSKO-POMORSKIE,0406012,1714.9764903572786,1003.0431214813516,711.9333688759273,0.4151271885526613,wysokie ryzyko,70.36,195,0,32,0,0.0
Sulechów,zielonogórski,LUBUSKIE,0809063,1032.6179415971371,333.40936607115805,699.2085755259791,0.6771222417891771,wysokie ryzyko,76.09,81,1,6,40000,57.21
Wińsko,wołowski,DOLNOŚLĄSKIE,0222022,1087.4495259653593,392.6359784087101,694.8135475566492,0.6389386642472843,wysokie ryzyko,74.83,102,1,9,40000,57.57
Bogdaniec,gorzowski,LUBUSKIE,0801022,1391.6578123569725,698.2032625720071,693.4545497849651,0.4982938647902966,wysokie ryzyko,71.89,159,0,73,0,0.0
Radłów,tarnowski,MAŁOPOLSKIE,1216053,5561.379405323492,4875.611579249375,685.767826074117,0.123308944794826,wysokie ryzyko,64.43,363,1,27,40000,58.33
Mosina,poznański,WIELKOPOLSKIE,3021103,752.7174685354257,74.84895837553756,677.8685101598882,0.9005616828301164,wysokie ryzyko,81.02,25,2,17,80000,118.02
Malbork,malborski,POMORSKIE,2209042,1080.4089797986612,404.8681040770453,675.540875721616,0.6252640327438836,wysokie ryzyko,75.15,92,1,14,40000,59.21
Góra Kalwaria,piaseczyński,MAZOWIECKIE,1418013,1243.117742018641,572.7227511955331,670.3949908231077,0.5392851925148173,wysokie ryzyko,72.65,141,0,22,0,0.0
Świecie,świecki,KUJAWSKO-POMORSKIE,0414093,2510.945337376608,1844.357811310868,666.5875260657399,0.2654727349668946,wysokie ryzyko,67.22,274,0,36,0,0.0
Mędrzechów,dąbrowski,MAŁOPOLSKIE,1204042,3364.7749743950626,2700.4088125524904,664.3661618425724,0.1974474272122806,wysokie ryzyko,65.63,329,0,47,0,0.0
Ryjewo,kwidzyński,POMORSKIE,2207052,1002.8266621350614,341.43733904120654,661.389323093855,0.6595250685554455,wysokie ryzyko,74.9,99,0,41,0,0.0
Mysłakowice,karkonoski,DOLNOŚLĄSKIE,0206072,1511.25558271178,851.0953243703752,660.1602583414046,0.4368289956334325,wysokie ryzyko,71.4,174,1,27,40000,60.59
Krzykosy,średzki,WIELKOPOLSKIE,3025022,1842.1956880739497,1191.925646967679,650.2700411062704,0.3529864092702008,wysokie ryzyko,69.26,222,1,34,40000,61.51
Oborniki Śląskie,trzebnicki,DOLNOŚLĄSKIE,0220013,1065.7078528115555,415.7939392293351,649.9139135822204,0.6098424740585465,wysokie ryzyko,74.78,103,2,3,80000,123.09
Włocławek,włocławski,KUJAWSKO-POMORSKIE,0418132,651.4240134909642,6.146311826050798,645.2777016649134,0.9905648061803664,wysokie ryzyko,81.71,18,2,20,80000,123.98
Środa Śląska,średzki,DOLNOŚLĄSKIE,0218043,838.9119313208919,198.2305299767678,640.6814013441241,0.7637051964863011,wysokie ryzyko,76.25,77,1,5,40000,62.43
Wielka Nieszawka,toruński,KUJAWSKO-POMORSKIE,0415082,2236.391237960287,1604.1951513085075,632.1960866517795,0.2826858180809085,wysokie ryzyko,67.24,273,1,32,40000,63.27
Śrem,śremski,WIELKOPOLSKIE,3026043,2165.736970075185,1539.8518894515923,625.8850806235932,0.2889940418765928,wysokie ryzyko,67.11,280,1,22,40000,63.91
Bojadła,zielonogórski,LUBUSKIE,0809022,2030.8148746783288,1406.0125556214334,624.8023190568953,0.3076608935887674,wysokie ryzyko,66.98,284,1,9,40000,64.02
Krzymów,koniński,WIELKOPOLSKIE,3010062,1601.3675319729475,977.5120610821292,623.8554708908181,0.389576695190144,wysokie ryzyko,69.21,224,1,28,40000,64.12
Nowa Wieś Wielka,bydgoski,KUJAWSKO-POMORSKIE,0403052,1504.9695389000372,889.8493553326194,615.1201835674176,0.4087260025322513,wysokie ryzyko,69.44,219,1,13,40000,65.03
Stary Sącz,nowosądecki,MAŁOPOLSKIE,1210163,1789.3372075507264,1175.342408686526,613.9947988642002,0.3431409106529708,wysokie ryzyko,68.89,234,1,20,40000,65.15
Żmigród,trzebnicki,DOLNOŚLĄSKIE,0220063,3363.8839247409123,2750.7663020100176,613.1176227308949,0.1822647976113258,wysokie ryzyko,65.34,342,0,34,0,0.0
