candidate_id,nr_ref,wojewodztwo,powiat,gmina,teryt_gmi,recommended_action,priority_class,priority_score_v13,risk_class,recommended_power_class_w,new_pop_ge65_proxy,flood_risk_pop_ge65_gain_proxy,redundancy_gain_pop_proxy,failure_loss_pop_night_proxy,estimated_cost_pln,cost_per_new_person_ge65_pln,candidate_lat,candidate_lon,candidate_source,candidate_type,effect_method
EXIST-SOiA-20260422-65003,SOiA-20260422-65003,MAZOWIECKIE,warszawski zachodni,Łomianki,,integracja,A,87.26,,600,0.0,0.0,0.0,2943.85,5000,0.0,52.347826,20.856981,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-30544,SOiA-20260423-30544,KUJAWSKO-POMORSKIE,m. Toruń,Toruń,,integracja,A,87.26,,300,0.0,0.0,0.0,2942.59,5000,0.0,53.026749,18.697893,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260421-34012,SOiA-20260421-34012,ŚLĄSKIE,m. Świętochłowice,Świętochłowice,,integracja,A,87.26,,900,0.0,0.0,0.0,2941.85,5000,0.0,50.283344,18.910694,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-50788,SOiA-20260422-50788,PODLASKIE,bielski,Brańsk,,integracja,A,87.26,,1200,0.0,0.0,0.0,2941.69,5000,0.0,52.747889,22.839839,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
NEW-20330,,DOLNOŚLĄSKIE,średzki,Miękinia,0218033,walidacja_terenowa,A,87.25,wysokie ryzyko,900,139.0,139.0,0.0,0.0,0,0.0,51.2127732,16.7312047,nearest_public_osm_object,public,gap_population_proxy
EXIST-SOiA-20260415-29097,SOiA-20260415-29097,DOLNOŚLĄSKIE,m. Jelenia Góra,Jelenia Góra,,integracja,A,87.25,,600,0.0,0.0,0.0,2935.96,5000,0.0,50.903141,15.734648,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260424-72656,SOiA-20260424-72656,ŚLĄSKIE,m. Piekary Śląskie,Piekary Śląskie,,integracja,A,87.25,,900,0.0,0.0,0.0,2935.36,5000,0.0,50.41036,18.947976,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260423-24139,SOiA-20260423-24139,DOLNOŚLĄSKIE,średzki,Malczyce,,integracja,A,87.25,,900,0.0,0.0,0.0,2935.12,5000,0.0,51.219498,16.496842,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260417-74062,SOiA-20260417-74062,POMORSKIE,kwidzyński,Kwidzyn,,integracja,A,87.25,,900,0.0,0.0,0.0,2933.38,5000,0.0,53.74457,18.94622,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260417-85907,SOiA-20260417-85907,POMORSKIE,kościerski,Kościerzyna,,integracja,A,87.25,,900,0.0,0.0,0.0,2933.26,5000,0.0,54.130081,17.972681,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-49441,SOiA-20260422-49441,ZACHODNIOPOMORSKIE,gryfiński,Mieszkowice,,integracja,A,87.25,,900,0.0,0.0,0.0,2931.68,5000,0.0,52.78505,14.4944,existing_siren_V9_V10,analogowa,existing_siren_primary_coverage_proxy
EXIST-SOiA-20260422-78611,SOiA-20260422-78611,MAZOWIECKIE,m. Siedlce,Siedlce,,integracja,A,87.25,,600,0.0,0.0,0.0,2930.81,5000,0.0,52.167963,22.289707,existing_siren_V9_V10,cyfrowa,existing_siren_primary_coverage_proxy
