risk_class,pop_night_total,pop_day_total,pop_night_ge65,pop_day_ge65,pop_night_outside,pop_day_outside,poziom,teryt_woj,wojewodztwo,teryt_pow,powiat,teryt_gmi,gmina
niskie ryzyko,575.160082822106,634.296653170732,415.8093148577693,476.032082595826,159.35076796433668,158.2645705749061,powiat,04,KUJAWSKO-POMORSKIE,0410,nakielski,,
wysokie ryzyko,510.43010831982895,548.9737849755506,391.5818675712064,431.76064704439193,118.84824074862252,117.21313793115868,powiat,04,KUJAWSKO-POMORSKIE,0410,nakielski,,
niskie ryzyko,35.3958785277988,33.41265161783055,10.566155917465062,8.60748021325437,24.82972261033374,24.80517140457618,powiat,04,KUJAWSKO-POMORSKIE,0411,radziejowski,,
wysokie ryzyko,2.549328877870577,2.638387199681795,2.4517026297253968,2.451702629725397,0.0976262481451803,0.1866845699563976,powiat,04,KUJAWSKO-POMORSKIE,0411,radziejowski,,
niskie ryzyko,41.8227395911316,39.56820873663943,27.06204816799991,24.82094611701106,14.760691423131684,14.747262619628364,powiat,04,KUJAWSKO-POMORSKIE,0412,rypiński,,
wysokie ryzyko,7.10220048263627,7.30530312227323,7.10220048263627,7.30530312227323,0.0,0.0,powiat,04,KUJAWSKO-POMORSKIE,0412,rypiński,,
niskie ryzyko,5.320812658782193,4.512541918423927,5.320812658782193,4.512541918423927,0.0,0.0,powiat,04,KUJAWSKO-POMORSKIE,0413,sępoleński,,
niskie ryzyko,4704.40344733381,4745.4217495262355,1736.9717888275536,1707.9093698198851,2967.431658506256,3037.5123797063493,powiat,04,KUJAWSKO-POMORSKIE,0415,toruński,,
wysokie ryzyko,3804.234186351027,3730.649906817806,1521.0717530777397,1511.9856177925276,2283.1624332732868,2218.6642890252783,powiat,04,KUJAWSKO-POMORSKIE,0415,toruński,,
niskie ryzyko,10.090029776404798,9.821418106525286,4.787795961325137,4.787795961325137,5.302233815079661,5.03362214520015,powiat,04,KUJAWSKO-POMORSKIE,0416,tucholski,,
wysokie ryzyko,1.5661668799753328,1.1739435883420064,0.0,0.0,1.5661668799753328,1.1739435883420064,powiat,04,KUJAWSKO-POMORSKIE,0416,tucholski,,
niskie ryzyko,590.376606746585,576.6491730154133,104.33712658725908,93.26362441007386,486.03948015932593,483.3855486053396,powiat,04,KUJAWSKO-POMORSKIE,0418,włocławski,,
wysokie ryzyko,390.5165402696869,380.30339083985126,32.3023841392857,21.9023020081815,358.2141561304012,358.40108883166977,powiat,04,KUJAWSKO-POMORSKIE,0418,włocławski,,
niskie ryzyko,3741.423745183116,3654.558615576824,2307.421997899332,2232.917644738081,1434.001747283784,1421.6409708387428,powiat,04,KUJAWSKO-POMORSKIE,0414,świecki,,
