wojewodztwo,powiat,gmina,wojewodztwo_key,powiat_key,gmina_key,siren_records_without_gsm,unique_sites_without_gsm,integration_cost_records_pln,integration_cost_unique_sites_pln
MAZOWIECKIE,wołomiński,Poświętne,mazowieckie,wolominski,poswietne,1,1,5000,5000
MAŁOPOLSKIE,bocheński,Nowy Wiśnicz,malopolskie,bochenski,nowy_wisnicz,1,1,5000,5000
MAŁOPOLSKIE,chrzanowski,Alwernia,malopolskie,chrzanowski,alwernia,1,1,5000,5000
MAŁOPOLSKIE,limanowski,Dobra,malopolskie,limanowski,dobra,1,1,5000,5000
MAŁOPOLSKIE,limanowski,Kamienica,malopolskie,limanowski,kamienica,1,1,5000,5000
MAŁOPOLSKIE,limanowski,Laskowa,malopolskie,limanowski,laskowa,1,1,5000,5000
MAŁOPOLSKIE,limanowski,Tymbark,malopolskie,limanowski,tymbark,1,1,5000,5000
MAŁOPOLSKIE,nowosądecki,Nawojowa,malopolskie,nowosadecki,nawojowa,1,1,5000,5000
MAŁOPOLSKIE,olkuski,Bukowno,malopolskie,olkuski,bukowno,1,1,5000,5000
MAŁOPOLSKIE,oświęcimski,Osiek,malopolskie,oswiecimski,osiek,1,1,5000,5000
MAŁOPOLSKIE,oświęcimski,Polanka Wielka,malopolskie,oswiecimski,polanka_wielka,1,1,5000,5000
MAŁOPOLSKIE,tatrzański,Kościelisko,malopolskie,tatrzanski,koscielisko,1,1,5000,5000
OPOLSKIE,brzeski,Lewin Brzeski,opolskie,brzeski,lewin_brzeski,1,1,5000,5000
OPOLSKIE,krapkowicki,Strzeleczki,opolskie,krapkowicki,strzeleczki,1,1,5000,5000
OPOLSKIE,krapkowicki,Walce,opolskie,krapkowicki,walce,1,1,5000,5000
OPOLSKIE,krapkowicki,Zdzieszowice,opolskie,krapkowicki,zdzieszowice,1,1,5000,5000
OPOLSKIE,nyski,Kamiennik,opolskie,nyski,kamiennik,1,1,5000,5000
OPOLSKIE,nyski,Korfantów,opolskie,nyski,korfantow,1,1,5000,5000
OPOLSKIE,nyski,Łambinowice,opolskie,nyski,lambinowice,1,1,5000,5000
