gap_id,risk_class,pop_outside_night,pop_outside_day,area_ha,teryt_gmi,wojewodztwo,powiat,gmina,priority_score_v12,priority_class,recommended_action_seed,procurement_action,estimated_new_siren_cost_pln,new_siren_cost_per_pop_outside_night_pln,x_2180,y_2180,lat,lon,estimated_unit_cost_pln,cost_per_pop_outside_night_pln
8938,niskie ryzyko,3.9793713218353255,3.579143769961993,2.0,0415082,KUJAWSKO-POMORSKIE,toruński,Wielka Nieszawka,32.08,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,469500.0,570150.0,52.9959107,18.54543,0,0.0
29759,niskie ryzyko,3.5002075792871823,3.500207579287182,2.0,1210102,MAŁOPOLSKIE,nowosądecki,Łososina Dolna,32.08,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,623450.0,209450.0,49.7397393,20.7138732,0,0.0
30513,niskie ryzyko,1.4946999417310445,1.4946999417310445,1.0,1807023,PODKARPACKIE,krośnieński,Dukla,32.08,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,694950.0,192650.0,49.5698266,21.6972029,0,0.0
27640,niskie ryzyko,3.8826703104773665,2.736132759152483,1.0,1803042,PODKARPACKIE,dębicki,Dębica,32.07,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,669850.0,243150.0,50.0313619,21.3723594,0,0.0
25898,niskie ryzyko,1.1081234639676545,1.1081234639676545,1.0,1204073,MAŁOPOLSKIE,dąbrowski,Szczucin,32.07,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,653350.0,274150.0,50.3145375,21.1545799,0,0.0
21978,niskie ryzyko,4.799509578215849,4.799509578215849,1.0,0219032,DOLNOŚLĄSKIE,świdnicki,Dobromierz,32.06,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,304050.0,346350.0,50.9506478,16.2093742,0,0.0
21794,niskie ryzyko,2.4121001098310475,2.412100109831047,1.0,2611022,ŚWIĘTOKRZYSKIE,starachowicki,Brody,32.06,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,657250.0,350150.0,50.9966692,21.2416297,0,0.0
29912,niskie ryzyko,1.4896853891559667,1.2275483746004288,1.0,1209022,MAŁOPOLSKIE,myślenicki,Lubień,32.06,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,570650.0,206350.0,49.7203775,19.9804374,0,0.0
21121,niskie ryzyko,4.787102942418357,4.787102942418356,3.0,1012113,ŁÓDZKIE,radomszczański,Przedbórz,32.05,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,563850.0,361950.0,51.1207582,19.9125904,0,0.0
16373,niskie ryzyko,2.417217498304122,2.417217498304122,1.0,1417072,MAZOWIECKIE,otwocki,Sobienie-Jeziory,32.05,niski,modernizacja_or_new,not_priced_as_integration,0,0.0,659750.0,452950.0,51.9198682,21.3237067,0,0.0
